job_title,companyName,companyLocation,job_summary,post_date,salary
"Senior Accountant, Reporting & Technical Accounting",Circle,"Remote in Charlotte, NC+1 location","Circle is looking for a motivated Senior Accountant, Reporting & Technical Accounting to support the overall accounting function and help solve technical…",Posted30+ days ago,Estimated $77.3K - $97.9K a year
Senior Tax Accountant- US Indirect Tax,Trane Technologies,"Davidson, NC 28036",The individual will work with a high level of independence but will need to coordinate with others across multiple functions from a state and local tax planning…,Posted30+ days ago,None
Senior Accountant,Nwr Services Llc,"Charlotte, NC 28202 (Downtown Charlotte area)","Record monthly depreciation and amortization schedules.
Prepare monthly operating financials for Residential properties (Operating Statements, Balance Sheets,…",Posted30+ days ago,Estimated $62.8K - $79.6K a year
Senior Accountant,Northwood Ravin,"Charlotte, NC 28202 (Downtown Charlotte area)","Record monthly depreciation and amortization schedules.
Prepare monthly operating financials for Residential properties (Operating Statements, Balance Sheets,…",Posted30+ days ago,Estimated $62.8K - $79.6K a year
"Senior, Revenue & Receivables Accounting","Discovery Education, Inc.","Charlotte, NC 28209 (Ashbrook-Clawson Village area)",This person will be responsible for supporting the Order to Cash/Revenue & Receivables process and the setup of sales contracts in our financial reporting…,Posted19 days ago,Estimated $80K - $101K a year
newSenior Accountant,Tatum by Randstad,"Charlotte, NC 28215 (Hickory Grove area)","The Senior Accountant is responsible for all aspects of transactional accounting, maintaining the integrity of the general ledger and preparing monthly and…",Posted8 days ago,None
newSenior Accountant,TalentBridge,"Hybrid remote in Concord, NC 28025+1 location","Assist with tax planning, preparation and strategy with local organizations and clients (no out of town travel needed).
Public Accounting: 2 years (Preferred).",Posted1 day ago,None
Senior Accountant,"Schaefer Systems International, Inc.","Charlotte, NC 28273 (Olde Whitehall area)+1 location","Strong planning and budgeting abilities.
Assists outside accounting firm with annual external audits.
Provides P&L commentary for current and YTD comparisons to…",Posted30+ days ago,Estimated $73.9K - $93.5K a year
Senior Accountant - Corporate Accounting,Adams Outdoor,"Charlotte, NC 28262 (University City North area)","Prepares work papers for and interacts with the company's tax accountants.
JOB SUMMARY: Responsible for accounting transactions and maintenance of books of…",Posted30+ days ago,Estimated $70.3K - $89.1K a year
Sr. Auditor-REMOTE,MSC Industrial Supply Co.,"Remote in Davidson, NC","Assists Audit Management with the planning of operational audits (functional areas, distribution centers and branches) including preliminary understandings,…",Posted30+ days ago,None
Senior Accountant Supply Chain,Electrolux,"Charlotte, NC","Strong understanding of financial reporting, accounting, planning and economics.
The Senior Accountant – Supply Chain will ensure accurate and complete…",Posted30+ days ago,None
"Senior Accountant - Technical Accounting, Reporting and Poli...",Trane Technologies,"Davidson, NC 28036","Minimum of 2 years of experience with a Big 4 firm, or similar roles in a Fortune 1000 company in a Technical Accounting and/or SEC reporting capacity.",Posted9 days ago,None
Senior Accountant and Financial Analyst,McLeod Addictive Disease Center,"Hybrid remote in Charlotte, NC 28217",McLeod Center is currently accepting applications for a Full-time Senior Accountant and Financial Analyst to work in the Finance Department at its headquarters…,Posted30+ days ago,None
Senior Accountant,Blumenthal Performing A,"Charlotte, NC 28202 (Downtown Charlotte area)","An equivalent combination of education, training and experience that provides the required knowledge, skills and abilities may be accepted in lieu of a bachelor…",Posted30+ days ago,Estimated $62.5K - $79.1K a year
Senior General Accountant,"DCE Solar, Inc","Cornelius, NC 28031","The company offers a competitive salary with tier 1 benefits of medical, dental, vision and a company supported 401k plan and finally, a blended work from home…",EmployerActive 9 days ago,None
"Senior Manager, Corporate Accounting - Opportunity for Worki...",VMware,"Remote in Charlotte, NC","With your technical accounting expertise and knowledge in inventory and cost accounting, stock-based compensation and deferred commissions, you will be the…",Posted30+ days ago,None
newESG Finance Team - Senior Product / Specialty Controller,Bank of America,"Charlotte, NC 28202 (Fourth Ward area)","The primary focus of our team is to lead the strategic development of ESG reporting and disclosures within the CFO organization, including operations, systems,…",Posted1 day ago,None
Senior Financial Analyst Reporting / Accounting Policy,IT Solution,"Charlotte, NC","This role applies business acumen to promote a culture of risk management and the identification, escalation and timely execution of value added testing over…",EmployerActive 3 days ago,None
newSr Internal Auditor (Hybrid work option),Humanity,"Hybrid remote in Charlotte, NC+4 locations","This position is responsible for planning and performing operational, financial and compliance audits under the supervision of an Internal Audit Manager,…",Posted5 days ago,Estimated $78.6K - $99.6K a year
Senior Accountant - Consolidations,Ryder System,"Charlotte, NC 28230 (Cherry area)+1 location","This position will assist the accounting group with monthly reporting to management of operating results, balance sheet account analyses and reconciliations,…",Posted30+ days ago,None
newSr. Tax Accountant,Krispy Kreme,"Hybrid remote in Charlotte, NC 28203",You will have a passion for tax compliance and tax planning while assisting the tax department with providing strategic insights and recommendations needed for…,Posted6 days ago,None
newSenior Accountant,Tatum by Randstad,"Charlotte, NC 28215 (Hickory Grove area)","The Senior Accountant is responsible for all aspects of transactional accounting, maintaining the integrity of the general ledger and preparing monthly and…",Posted8 days ago,None
Senior Staff Accountant,River Rock Capital Partners,"Mooresville, NC 28117","Select invoices and print payments as needed for entities.
We are looking to find candidates with financial and analytical experience who are highly motivated…",Posted30+ days ago,Estimated $53.5K - $67.7K a year
newSenior Accountant,TalentBridge,"Hybrid remote in Concord, NC 28025+1 location","Assist with tax planning, preparation and strategy with local organizations and clients (no out of town travel needed).
Public Accounting: 2 years (Preferred).",Posted1 day ago,None
newSenior Tax Analyst,Bank of America,"Charlotte, NC 28202 (Fourth Ward area)","Perform tax research and tax analysis related to Tax Planning & Advisory projects including preparation of tax memoranda.
5+ years total tax experience.",Posted8 days ago,None
Sr. Financial Accountant,JELD-WEN,"Charlotte, NC 28273 (Olde Whitehall area)","As a valued member of the Finance Team, the Senior Financial Accountant will support the business by assisting in monthly accounting, financial reporting,…",Posted30+ days ago,None
Senior Accountant,Kindred at Home - Hospice Division,"Mooresville, NC 28117","You will be responsible for internal controls, accounting, auditing, and process improvement.
Senior Accountant will ensure that internal controls are performed…",Posted30+ days ago,None
Senior Operational Auditor (Remote),Lowe's,"Remote in Mooresville, NC 28117",The Senior Auditor will assist in the planning and execution of audit engagements by: conducting interviews and walkthroughs with process owners; assisting in…,Posted10 days ago,None
Senior GAAP Financial Reporting Accountant,DHG,"Charlotte, NC 28202 (First Ward area)","Aid in the planning and build out of quarterly and annual financial statements in accordance with SEC regulations (Form 10-Q, Form 10-K, financial supplements,…",Posted30+ days ago,None
Senior Accountant,"Akoustis, Inc.","Huntersville, NC 28078",This newly created position will be responsible for all areas of financial accounting as well as internal/external financial reporting.,Posted30+ days ago,Estimated $65.7K - $83.1K a year
Sr. Accountant,SPX,"Charlotte, NC","SPX Corporate Senior Accountant is responsible for performing daily general ledger activities and monthly closing procedures including standard calculations,…",EmployerActive 11 days ago,Estimated $71.7K - $90.7K a year
newFinancial Services - Financial Accounting Advisory Services-...,EY,"Charlotte, NC 28203 (Dilworth area)","Lead and participate in multiple engagement teams as a senior firm executive within Financial Accounting Advisory Services.
CPA license in your work state.",Posted1 day ago,None
newSr Product/Specialty Controller,Blue X Technologies,"Charlotte, NC","Strong communication skills including with senior leadership.
Analyze current processes and make recommendations for process improvement.",EmployerActive 4 days ago,None
"Senior Associate, Finance & Accounting (Data & Analytics)",KPMG,"Charlotte, NC 28202 (Fourth Ward area)+1 location","Minimum three years of recent financial analyst or similar experience; preferably from a professional services firm.
Provide support in budget preparation.",Posted30 days ago,None
"Senior Associate, Assurance Services","GreerWalker, LLP","Charlotte, NC 28202 (Downtown Charlotte area)","Through our investment banking affiliate, GreerWalker Corporate Finance, we also offer exit planning and merger and acquisition services as well as customized…",Posted30+ days ago,Estimated $76.8K - $97.2K a year
Senior Property Accountant,Lincoln Harris,"Charlotte, NC","High proficiency in Excel is desired.
Monitors cash and ensures that critical payments are made timely and prepares funding reports as needed.",Posted30+ days ago,Estimated $73.2K - $92.6K a year
Senior Accounting Specialist,TalentBridge,"Charlotte, NC","Perform moderately complex operational account activities related to maintaining ledger accounts and developing reports.
4 years of accounting experience.",EmployerActive 10 days ago,None
newSr. Accountant- Fixed Assets,Krispy Kreme,"Charlotte, NC 28203 (Brookhill area)","The Senior Accountant Fixed Assets role on the Corporate Accounting team has the overall responsibility of processing transactions, analyzing significant…",Posted6 days ago,None
Senior Manager - FAAS,"Embark, LLC","Charlotte, NC 28205 (North Sharon Amity area)","We pay 100% of premiums for you and your entire family on health, vision, and life insurance, and short and long-term disability.
Strong knowledge of U.S. GAAP.",Posted30+ days ago,None
Senior Tax Accountant,DHG,"Charlotte, NC 28202 (First Ward area)",Coordinate with external service provider on the preparation of all federal and state income/franchise tax returns and installment tax calculations and ensure…,Posted16 days ago,None
Sr. Accountant,Insight Global,"Hybrid remote in Charlotte, NC+1 location","* Assess current accounting practice and ensure appropriate application of accounting policy.
* Assess current operating environment and drive process…",Posted22 days ago,None
Senior Internal Auditor,Honeywell,"Charlotte, NC 28202 (Downtown Charlotte area)+2 locations","You will lead technology risk assessments, pre-audit planning and conduct independent and objective audit reviews across Honeywell's diversified organizations…",Posted30+ days ago,None
Assurance Senior Associate - Virtual,CohnReznick,"Charlotte, NC 28202 (Fourth Ward area)+1 location","Serving as the Engagement Lead on specific client accounts, taking responsibility for pre-engagement planning, execution, and final deliverable.",Posted9 days ago,Estimated $73.3K - $92.9K a year
Senior Financial Analyst Reporting / Accounting Policy â€“ G...,Bank of America,"Charlotte, NC 28202 (Fourth Ward area)+2 locations","This role applies business acumen to promote a culture of risk management and the identification, escalation and timely execution of value added testing over…",Posted24 days ago,None
newSenior Accountant,Vaco,"Charlotte, NC+1 location","Work closely with external CPA firm regarding tax filings.
Develop within the company; be mentored and grown as a leader from the minute you're hired.",Posted1 day ago,None
newSenior Tax Advisor,Bank of America,"Charlotte, NC 28202 (Fourth Ward area)","This includes accounting, financial and regulatory reporting, balance sheet management, financial planning and analysis, treasury, investor relations, corporate…",Posted3 days ago,None
Senior Manager of Accounting and Reporting,Cornerstone Building Brands,"Charlotte, NC","6+ years of public accounting (Big 4 or top tier; clients must have included SEC registrants), 7 to 9 years of industry, or a mix of both, including supervisory…",Posted10 days ago,None
Accounting Advisory – Senior Manager,CFGI,"Charlotte, NC","Lead firm initiatives and identify areas for improvements.
Play an active role in the firm’s recruiting efforts, client relationship building and business…",Posted30+ days ago,Estimated $157K - $198K a year
"Senior Associate, Audit Resource Management",KPMG,"Charlotte, NC 28202 (Fourth Ward area)","Minimum three years of recent resource management or audit experience, preferably within a professional services firm or similar environment.",Posted16 days ago,None
newSenior Accountant,Tatum by Randstad,"Charlotte, NC 28215 (Hickory Grove area)","The Senior Accountant is responsible for all aspects of transactional accounting, maintaining the integrity of the general ledger and preparing monthly and…",Posted8 days ago,None
SR. INTERNAL AUDITOR (CLT/REMOTE),Compass Corporate,"Remote in Charlotte, NC 28201","Conduct audits, either individually or as a part of a small team, with responsibility over the planning, audit execution and delivery of the final audit report.",Posted30+ days ago,None
newSenior Accountant,TalentBridge,"Hybrid remote in Concord, NC 28025+1 location","Assist with tax planning, preparation and strategy with local organizations and clients (no out of town travel needed).
Public Accounting: 2 years (Preferred).",Posted1 day ago,None
newSenior Tax Professional II,Bank of America,"Charlotte, NC 28202 (Fourth Ward area)","This includes accounting, financial and regulatory reporting, balance sheet management, financial planning and analysis, treasury, investor relations, corporate…",Posted8 days ago,None
A/R Senior Accountant,"Driven Brands, Inc.","Charlotte, NC 28202 (Downtown Charlotte area)","Take ownership of assigned GL accounts and ensure accuracy, understanding, and consistency of application and compliance with GAAP.",Posted30+ days ago,Estimated $68.7K - $86.9K a year
Accounting & Reporting Advisory - Senior,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)+2 locations","Be part of a team that assists clients with the accounting and reporting aspects of transactions including acquisitions, equity, and debt etc.",Posted30+ days ago,None
Senior Tax Manager,Wastequip,"Charlotte, NC 28211 (Barclay Downs area)","Assisting VP and treasury with tax planning issues as required.
Ensuring that tax filings, quarterly estimated tax payments and other various tax payment…",Posted30+ days ago,Estimated $115K - $145K a year
Tax Manager/Senior Tax Manager,Carlyle Search Group,"Remote in Charlotte, NC","Advise clients on a full spectrum of corporate tax services, including planning, research, compliance, and provision.
The Pay Range is up to $150K.",Posted30+ days ago,None
Senior Internal Auditor - Remote,Windstream Communications,"Remote in Charlotte, NC","Experience in writing concise, formal audit reports distributed to senior management.
Our internal audit team interacts and communicates regularly with senior…",Posted14 days ago,None
"Tax Senior Associate, International Tax Shared Services Cent...",KPMG,"Charlotte, NC 28202 (Fourth Ward area)+9 locations","Advise multinational enterprises on tax planning opportunities.
KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and…",Posted29 days ago,None
Accountant Sr,Incenter,"Charlotte, NC 28216","Prepares supporting schedules for quarterly external reporting.
The Senior Technical Accountant plays a key role on the Corporate Accounting team, ensuring…",Posted30+ days ago,None
Senior Auditor Special Investigations,Continental,"Fort Mill, SC+1 location","Provide professional special investigation services including analytics (worldwide) with focus on risk management, internal control system and corporate…",Posted24 days ago,None
newSenior Fiduciary Tax Liaison,Truist Financial,"Charlotte, NC 28269","Advises and assists estate administration teammates on tax planning issues.
If you have a disability and need assistance with the application, you can request a…",Posted7 days ago,None
Senior Accounting Specialist,TalentBridge,"Charlotte, NC","Perform moderately complex operational account activities related to maintaining ledger accounts and developing reports.
4 years of accounting experience.",EmployerActive 10 days ago,None
"newSenior Manager, Fund Accounting",Freedom Financial Network,"Remote in Charlotte, NC 28202","In this role, you will be a strategic business partner with the Capital Markets team managing the accounting for the Freedom Consumer Credit hedge fund.",Posted2 days ago,Estimated $121K - $153K a year
"newSenior Associate, Independence",KPMG,"Charlotte, NC 28202 (Fourth Ward area)","Apply a fundamental understanding of the applicable independence rules and regulations in executing procedures that contribute to providing basic guidance, to…",Posted2 days ago,None
Senior Tax Analyst (Hybrid),Xylem,"Remote in Charlotte, NC 28273","Xylem seeks to hire a Senior Tax Analyst for the Corporate Tax department.
Occasional travel to the office will be expected during the quarter-close periods.",Posted23 days ago,None
Sr. Accountant,Insight Global,"Hybrid remote in Charlotte, NC+1 location","* Assess current accounting practice and ensure appropriate application of accounting policy.
* Assess current operating environment and drive process…",Posted22 days ago,None
Sr Internal Auditor (Hybrid work option),Spectrum,"Hybrid remote in Charlotte, NC 28202+3 locations","This position is responsible for planning and performing operational, financial and compliance audits under the supervision of an Internal Audit Manager,…",Posted30+ days ago,None
"Senior Associate, Tax Services","GreerWalker, LLP","Charlotte, NC 28202 (Downtown Charlotte area)","Participate in client meetings and serve as the Engagement Lead on specific client accounts, taking responsibility for pre-engagement planning, execution, and…",Posted30+ days ago,Estimated $78.5K - $99.3K a year
Sr. General Ledger Accountant,Varo Money,"Charlotte, NC","Maintain vendor and accounts payable information and ensure prudent cash flow management and vendor payments.
Prepare flux analysis for balance sheet and income…",Posted30+ days ago,Estimated $75.2K - $95.2K a year
"Senior Finance Auditor - Charlotte, NC",Dentsply Sirona,"Charlotte, NC","Experience planning and executing audits.
Present summarized observations in a business minded audit report to senior leaders.",Posted30+ days ago,None
Senior Reinsurance Accountant,Endurance Specialty Holdings Ltd.,"Charlotte, NC","Casualty insurance and reinsurance, established in March 2017 as the result of the acquisition of.
Endurance Specialty Holdings Ltd. by Sompo Holdings Ltd. …",Posted30+ days ago,None
